( common_voice_ha_26709373 "Abokina na son ya amsa laifi." )
( common_voice_ha_26709376 "Ka san banbanci tsakanin silba da gwangwani?" )
( common_voice_ha_26709379 "Rana tana bayar da zafi da haske da yawa." )
( common_voice_ha_26709382 "Yusuf ya fadawa Lare yadda suka hadu da Hassan." )
( common_voice_ha_26709383 "Wasu lokutan gudun tsira da rai ya kan bar mutum ba komai." )
( common_voice_ha_26709487 "Aliyu ya daɗe yana yin wannan aiki." )
( common_voice_ha_26709490 "Akwai mamaki, a ce bai san labarin ba." )
( common_voice_ha_26709493 "Kina ta ɗaukar waje guda. Mun riga mun tattauna kan haka." )
( common_voice_ha_26709497 "Linda ta gano Ishaku ne mutumin da ya yi mata fyaɗe." )
( common_voice_ha_26709499 "yau ina fama da ciwon kirji" )
( common_voice_ha_26709891 "Tana karatun wasan kwaikwayo game da tallafin karatu na musamman." )
( common_voice_ha_26709895 "Ana buƙatar ɗalibai su yi aikin sa'a ɗaya ga alʻumma a kowane sati." )
( common_voice_ha_26709896 "Ya ji ruwan saman ya a fuskarsa." )
( common_voice_ha_26709897 "zazzabin ya fara kwanaki biyu da suka wuce" )
( common_voice_ha_27006822 "Aliyu ya yankewa Khalifat hukuncin cewar ta rabu da Abdullahi." )
( common_voice_ha_27006823 "Ibrahim ba zai zo gobe ba." )
( common_voice_ha_27006824 "An sami alamun shan ƙwaya a gwajin da aka yiwa Babangida." )
( common_voice_ha_27006825 "Wutar daji na afkuwa ne daga Allah." )
( common_voice_ha_27006853 "Bugun zuciyar shi ya kasance dai-dai ne." )
( common_voice_ha_27006854 "Shin kun aikata hakan da kanku?" )
( common_voice_ha_27006855 "Ni na fi ko kasa da shekaru ɗaya kamar ku." )
( common_voice_ha_27006856 "Ya yanka kanshi da reza." )
( common_voice_ha_27006882 "Kuna da tarho a gidan ku." )
( common_voice_ha_27006883 "Sanya jama'a yin zaɓe ta hanya mai kyau, ba laifi bane." )
( common_voice_ha_27006884 "Rediyo bata yi bayani akan hatsarin ba." )
( common_voice_ha_27006886 "Bangarorin biyu sun cimma yarjejeniyar manufa nan da karshen watan Yuni." )
( common_voice_ha_27006919 "Idan zaku yii aiki, zamu tallafa maka." )
( common_voice_ha_27006920 "Diana ta fasa ƙwan ni kuma na hada kek." )
( common_voice_ha_27006921 "Ba ka iya bada horo ba." )
( common_voice_ha_27006972 "Sun ce da wuri." )
( common_voice_ha_27006974 "Abdullahi na da kariya." )
( common_voice_ha_27006975 "Na san Aliko bai san Hauwa ba za ta iya hakan ba." )
( common_voice_ha_27007004 "Wasu marasa lafiya suna da alamu masu laushi, masu kama da mura." )
( common_voice_ha_27007005 "Har yanzu Hassan bai san me yasa Zainab ta yi haka ba." )
( common_voice_ha_27007006 "Ya na lafiya?" )
( common_voice_ha_27007023 "Bitrus yayi matukar murna, ko ba haka bane?" )
( common_voice_ha_27007026 "Tijjani ya kasance a farkon wannan yammacin." )
( common_voice_ha_27007028 "Aliyu ke da mafi girman filin kiwo a yankin nan." )
( common_voice_ha_27007029 "Akwai haɗin kai mai muhimmaci tsakanin ƙasashen nan biyu." )
( common_voice_ha_27007052 "Ban san me yasa za ka yi haka ba." )
( common_voice_ha_27007053 "Akwai maki hudu masu mahimmanci: Gabas, kudu, yamma da arewa." )
( common_voice_ha_27007054 "kuma yana jin zafin kirji" )
( common_voice_ha_27007055 "Na yi tunanin ku biyun nan kun san juna." )
( common_voice_ha_27007121 "Kasar Ingila ta ƙwace tudun Breed." )
( common_voice_ha_27007123 "Har yanzu baza mu iya haka ba." )
( common_voice_ha_27007124 "Ladi ba ta damu da yin haka ba." )
( common_voice_ha_27007229 "Babangida ya saamu lokuta rashin jin dadi sosai a rayuwan shi." )
( common_voice_ha_27007230 "kuma ita ma kamar tana da alamomin cutar" )
( common_voice_ha_27007257 "Ba wanda ya tsira." )
( common_voice_ha_27007258 "Ba zan iya ba wannan lokacin." )
( common_voice_ha_27007259 "Jirgin ruwa ne mai kyan tsari." )
( common_voice_ha_27007260 "Ishaku na da son kai." )
( common_voice_ha_27007261 "Wannan akwatin na da banbancin kala da waccan." )
( common_voice_ha_27007273 "A gidan wasan kwaikwayo, Kathy ta canza wuraren zama tare da mahaifiyarta." )
( common_voice_ha_27007274 "Ginin gidaje ya yi aure da ma’aikatan soji da iyayensu" )
( common_voice_ha_27007278 "Ta ji yadda aka karɓeta a matsayin baƙuwa." )
( common_voice_ha_27007502 "Ina tabbatar ma cewar na gamsu da tunanina." )
( common_voice_ha_27007515 "Yaushe kuka sayi wayar?" )
( common_voice_ha_27007516 "Habibu baya sha'awar baseball." )
( common_voice_ha_27007574 "Habibu ya tsokani kowa a wajen." )
( common_voice_ha_27007576 "kuma kana fama da ciwon kirji" )
( common_voice_ha_27007797 "Ainihin numbobin na bada asalin misalin fili." )
( common_voice_ha_27007802 "Kamar na san wannan muryar." )
( common_voice_ha_27007803 "Sun zargi shugaban kasar da rashin kulawa da mutumin." )
( common_voice_ha_27007949 "Ya kamata na ga wani kan kasuwancin." )
( common_voice_ha_27007950 "Ciyayi sun fara girma a hanya da ake bi zuwa majami'a da." )
( common_voice_ha_27007951 "Kina da zare da allura?" )
( common_voice_ha_27007952 "Gaya min, gaya min." )
( common_voice_ha_27008027 "Mustapha ya ce mu jira anan." )
( common_voice_ha_27008032 "Akwai wasu tsoffin biranen Italiya, Rome da Venice misali." )
( common_voice_ha_27008248 "Me yasa iyaye Amurkawa ke yabawa yayansu?" )
( common_voice_ha_27008257 "Menene dalilin hakan?" )
( common_voice_ha_27008259 "Da fatan za a karɓi taya murna ta ga nasarar ku a yau." )
( common_voice_ha_27008292 "Akwai teburi gefe ɗaya cikin ɗakin." )
( common_voice_ha_27008293 "Idan ka sami lokaci, dan Allah ka yi hakan." )
( common_voice_ha_27008294 "Bitrus ya ce zai yi hakan a yau." )
( common_voice_ha_27008295 "Asabe bata faɗa mun dalilin dayasa zata je Boston ba." )
( common_voice_ha_27008345 "Na san Musa ɗalibin jami'a ne." )
( common_voice_ha_27008346 "Hassan bai taɓa faɗa wa kowa abin da ya faru a wannan ranar ba." )
( common_voice_ha_27008347 "Me ya sa ki ke tunanin cewa Aliko ba ya son ki?" )
( common_voice_ha_27008348 "Ban san Abdullahi na da buƙatar yin hakan ba." )
( common_voice_ha_27008370 "Ina bukatar samun bacci sosai." )
( common_voice_ha_27008371 "Ibrahim da Lare sun dan girme ni." )
( common_voice_ha_27008372 "Za a bar filin jirgin a bude." )
( common_voice_ha_27008395 "Mustapha bai buƙatar zuwa da kansa." )
( common_voice_ha_27008396 "Kowanne ɓangare na hanyar bishiyoyin cherry ne." )
( common_voice_ha_27008397 "Shirin bai yi dai-dai da masu shekarunki ba." )
( common_voice_ha_27008398 "Fadar na da nisan kilo mita uku daga cikin gari." )
( common_voice_ha_27008399 "Na sa mai zane ya zana hotona a tsaye." )
( common_voice_ha_27008479 "Ina gidan abokina." )
( common_voice_ha_27008480 "Na yi tunanin Jami bai sake yin hakan ba." )
( common_voice_ha_27008481 "Mai kirki ne fiye da komai." )
( common_voice_ha_27008482 "Ina mamakin ina a duniya Jami zai iya kasancewa a yanzu." )
( common_voice_ha_27008483 "Ban faɗawa Musa ya tsaya ba." )
( common_voice_ha_27008523 "Tun wane lokaci Bitrus ke aiki a Boston?" )
( common_voice_ha_27008526 "Wannan ya burge ni." )
( common_voice_ha_27008529 "Kin iya dafa abinci sosai." )
( common_voice_ha_27008564 "An gudanar da fatin bankwana jiya sabida Mr. Smith." )
( common_voice_ha_27008566 "Yin hakan ba wani mummunan abu bane." )
( common_voice_ha_27008567 "Ba bu damuwa idan na rufe taga? Ina jin sanyi kaɗan." )
( common_voice_ha_27008980 "Waɗannan tambayoyi ne da ba zan iya amsawa ba." )
( common_voice_ha_27008982 "Kamar Ishaku da Aisha ba sa son kasancewa a nan." )
( common_voice_ha_27008983 "Na gode da jagorar ku." )
( common_voice_ha_27008984 "Masu magana kan ce, wahala kan haifar da hawan jini." )
( common_voice_ha_27009021 "Idan abubuwa suka faɗa cikin ramin nan, za su yi zafi sosai." )
( common_voice_ha_27009023 "Ta saka jaket wanda bai da matsi." )
( common_voice_ha_27009025 "Yaronan bai da jiki." )
( common_voice_ha_27009026 "Matsalarmu ba za ta ƙare ba." )
( common_voice_ha_27009294 "Koyar da ni yadda ake wasan bututun mai kaya." )
( common_voice_ha_27009295 "Cire shi daga baya, yar da shi, kuma wanke hannun ku." )
( common_voice_ha_27009297 "Yaya yawan motsa jiki da ya kamata kayi?" )
( common_voice_ha_27009298 "Shin baban ka likita ne?" )
( common_voice_ha_27009319 "Falmata ta biya kudadenta." )
( common_voice_ha_27009320 "Kana son 'ya'yan itatuwa?" )
( common_voice_ha_27009321 "Ina tsoron zai iya latti ya rasa jirgin." )
( common_voice_ha_27009323 "A cikin Isra’ila, an amince da bincika hanyoyin sadarwa." )
( common_voice_ha_27009409 "Mota na tashar jirgin na tashi da karfe shida." )
( common_voice_ha_27009410 "Sakamakon gwaji yana samuwa tsakanin awa biyu zuwa kwana biyu." )
( common_voice_ha_27009412 "Ni mutum ne mai son motoci." )
( common_voice_ha_27009414 "Na gano cewa otal ɗin da na fi so ya daina kasuwanci." )
( common_voice_ha_27009415 "Babu wani magani ko allurar da aka yarda da shi don magance wannan cutar." )
( common_voice_ha_27009451 "Dole Japan ta dogara cinikayyar ƙasashen ƙetare domin kawo ƙarshen ganawar." )
( common_voice_ha_27009452 "Kada ka tsallaka titin idan kararrawa yana kara." )
( common_voice_ha_27009453 "Hamsatu ta ce ta gaji da yin wannan." )
( common_voice_ha_27010050 "Sun tsaya cikin gosulo na tsahon rabin awa." )
( common_voice_ha_27010053 "Ba ta taɓa shan komai da ɗalibanta ba." )
( common_voice_ha_27010054 "Allah Ya saka wani a gefen kowane mutum da zai lura da shi." )
