( KW_001 "Eee bwana weee, si unafahamu tena mambo ya presha.")
( KW_002 "Yeye ni kati ya waliofukuzwa alidai kuwa amepania kukata rufaa mbele ya kamati ya shule hiyo.")
( KW_003 "kwa madai kwamba alikamatwa akiingia kwenye bweni la wanawake Usiku baada ya kuzidiwa na kilevi.")
( KW_004 "Baada ya kudaiwa kuhusika na kifo hicho mzee huyo, alibanwa na waganga watatu wa jadi.")
( KW_005 "Misi huyo aliyekuwa mrembo wa kwanza kuiwakilisha Tanzania.")
( KW_006 "Kona ya mahaba: Endelea kupata raha ya huba sehemu hii.")
( KW_007 "Haya katika twisheni yetu inayoendelea leo.")
( KW_008 "kwa juu kidogo, kisha tembea nayo kwenda mashariki na magharibi.")
( KW_009 "Si kuna upenyo mkubwa, pale ndugu yangu, hebu inase ile sehemu ya nyuma ya kisigino.")
( KW_010 "Kidole chako kikubwa cha mguuni na kile kinachofuata.")
( KW_011 "Jamani mambo mengine, ebu niacheni nipumzike mie kwa leo.")
( KW_012 "Dokezo la pili ni kuwa malengo ya maendeleo ya milinea yasichukuliwe kama ndio lengo kwa Afrika.")
( KW_013 "Kufurahia asasi nyingine za msingi katika soko.")
( KW_014 "Bila kuangalia ni kiasi gani cha mtaji unaoingizwa kwenye uchumi, ukuaji wake.")
( KW_015 "Bidhaa zinazouzwa nje kama vile nguo, bidhaa za kilimo na viatu, vitu ambavyo vinaweza kuiingizia Afrika kipato.")
( KW_016 "Kwa kipindi kifupi nchi nyingi huwa zina njia mbadala ambao ni finyu.")
( KW_017 "Kabla ya kukamatwa Agosti 12 katika mji wa Ayuthaya, Kaskazini mwa Bangkok baada ya msako mkali wa polisi.")
( KW_018 "Alisafiri katika nchi za Ufaransa Lebanon, Libya: Switzerland: Yugoslavia na Uturuki.")
( KW_019 "pewa hati mpya ya uraia na leseni mpya ya gari akitumia jina la Mohamedi Fethi.")
( KW_020 "Orodha hiyo ilichapishwa mara ya kwanza Desemba mwaka 21 baada ya shambulio la kigaidi.")
( KW_021 "Enzi yake hapo shuleni madawati yalikuwa sawa.")
( KW_022 "Dawati limevunjika kenyekenye.")
( KW_023 "Akaamua kusimama wima hadi mvua upuse.")
( KW_024 "Alikumbukia methali ya kwao isemayo Chimoni sichirya bukhwe taa yaani Macho hayaogopi kuona uchi wa mtu.")
( KW_025 "Uvutaji sigara kajifunzia jela.")
( KW_026 "Hii ni Kenya bwana.")
( KW_027 "Mji wenyewe ulikuwa na nyumba kadha za paa za nyasi na kuta za udongo mwekundu uliopambwa kwa michoro myeupe.")
( KW_028 "Paa hilo lililalia na kubusu banda moja kweche.")
( KW_029 "Foleni iliyozongeza kama chatu mrefu hadi nje ya banda chakavu lililosetiri kinu kwa jua na mvua.")
( KW_030 "Aghalabu wajao kusaga unga walipiga foleni.")
( KW_031 "Jamii itamchukuaje?")
( KW_032 "Chui alikufa zamani.")
( KW_033 "Chifu George alikufa?")
( KW_034 "Roselyne alikuwa bintiye Kinyanjui Mbugua.")
( KW_035 "Dina alifyatua swali jingine kama risasi.")
( KW_036 "Nyanya si ulisema watu wakubwa huwa hawadanganyi.")
( KW_037 "Mama, nani kama mama ya mtu?")
( KW_038 "Gumu lilikuwa kutakasa jina.")
( KW_039 "Lakini kwa watu wengi wa Kitale matamshi sawa ya jina hilo yalikuwa Kidale Tei.")
( KW_040 "Nguvu za umeme.")
( KW_041 "Lori moja lililoona miaka na mikaka.")
( KW_042 "Chakula kizuri.")
( KW_043 "Alikuwa juu ya msichana mmoja mdogo karibu na safu ya vyoo.")
( KW_044 "Anachukua pale Allan Thigo.")
( KW_045 "Golikipa aliyekuwa akidaka mikwaju mizito mizito lakini akipitwa na mikwaju hafifu.")
( KW_046 "Mpira sigusi tena shuleni hapa, alisema Otieno Kagwa, golikipa wa nambari wani wa shule.")
( KW_047 "Kijoyo kikamdunda.")
( KW_048 "Epu Almasi mwanangu ngocha kwansa, alisema.")
( KW_049 "Pure ngekuwa presitent ya Kenya.")
( KW_050 "Mimi sasa nafurai sana.")
( KW_051 "Kama akuna chumvi kwa kitheri wao nachoma chikoni ya skuli.")
( KW_052 "Ati nini?")
( KW_053 "Na majani ya malenge yaliungiwa kumukhelekha.")
( KW_054 "Mara nyingi akiletewa ugali na sukuma isiyokuwa na mafuta, au kunde.")
( KW_055 "Akajitwika kichwani na kuja kukogea nyumbani.")
( KW_056 "Uso wake ulijaa umbea na dukuduku.")
( KW_057 "Ala umesoma riwaya za Kiswahili nini?")
( KW_058 "Vua shati ucheze upande wetu.")
( KW_059 "Jela ilikuwa imemboresha Almasi.")
